date,time,away_team,away_score,home_team,home_score,venue,season,type
2024-05-21,Final,Minnesota,3,Boston,0,Tsongas Center,2024,post
2024-05-24,Final,Boston,1,Minnesota,4,Xcel Energy Center,2024,post
2024-05-26,Final OT2,Boston,1,Minnesota,0,Xcel Energy Center,2024,post
2024-05-29,Final,Minnesota,3,Boston,0,Tsongas Center,2024,post
2023-12-04,Final OT,Toronto,5,Boston,2,Utica University Nexus Center - Mastrovito Hyundai,2024,pre
2023-12-04,Final SO,Ottawa,4,Minnesota,8,Utica University Nexus Center - Mastrovito Hyundai,2024,pre
2023-12-04,Final SO,Montreal,0,New York,4,Utica University Nexus Center - Mastrovito Hyundai,2024,pre
2023-12-05,Final OT,Minnesota,5,Toronto,4,Utica University Nexus Center - Mastrovito Hyundai,2024,pre
2023-12-05,Final OT,Boston,1,Montreal,3,Utica University Nexus Center - Mastrovito Hyundai,2024,pre
2023-12-05,Final SO,New York,2,Ottawa,1,Utica University Nexus Center - Mastrovito Hyundai,2024,pre
2023-12-07,Final,Montreal,3,Minnesota,4,Utica University Nexus Center - Mastrovito Hyundai,2024,pre
2023-12-07,Final OT,New York,6,Toronto,4,Utica University Nexus Center - Mastrovito Hyundai,2024,pre
2023-12-07,Final OT,Ottawa,1,Boston,3,Utica University Nexus Center - Mastrovito Hyundai,2024,pre
2024-11-20,Final,Montréal,1,Boston,3,Verdun Auditorium,2025,pre
2024-11-20,Final,Toronto,1,Minnesota,3,Ford Performance Centre,2025,pre
2024-11-21,Final,Boston,1,Ottawa,6,Verdun Auditorium,2025,pre
2024-11-21,Final OT,Minnesota,4,New York,3,Ford Performance Centre,2025,pre
2024-11-22,Final,Ottawa,3,Montréal,6,Verdun Auditorium,2025,pre
2024-11-22,Final,New York,5,Toronto,2,Ford Performance Centre,2025,pre
2024-11-30,Final,Boston,1,Toronto,3,Coca-Cola Coliseum,2025,regular
2024-11-30,Final SO,Ottawa,3,Montréal,4,Place Bell,2025,regular
2024-12-01,Final OT,New York,4,Minnesota,3,Xcel Energy Center,2025,regular
2024-12-03,Final,Toronto,2,Ottawa,3,TD Place,2025,regular
2024-12-04,Final,Minnesota,2,Boston,1,Tsongas Center,2025,regular
2024-12-04,Final,New York,4,Montréal,1,Place Bell,2025,regular
2024-12-06,Final,Montréal,2,Ottawa,1,Canadian Tire Centre,2025,regular
2024-12-07,Final,Minnesota,6,Toronto,3,Coca-Cola Coliseum,2025,regular
2024-12-08,Final,New York,2,Boston,4,Tsongas Center,2025,regular
2024-12-17,Final,Ottawa,2,Boston,3,Tsongas Center,2025,regular
2024-12-18,Final,Toronto,2,New York,4,Prudential Center,2025,regular
