date,time,away_team,away_score,home_team,home_score,venue,season,type
2025/03/29,1:00 pm CDT,Ottawa,0,Boston,0,Enterprise Center,2025,regular_season
2025/03/30,12:00 pm CDT,Toronto,0,Minnesota,0,Xcel Energy Center,2025,regular_season
2025/04/01,7:00 pm EDT,New York,0,Montréal,0,Place Bell,2025,regular_season
2025/04/02,7:00 pm EDT,Ottawa,0,Boston,0,Tsongas Center,2025,regular_season
2025/04/26,TBD,Toronto,0,Boston,0,Tsongas Center,2025,regular_season
2025/04/26,TBD,Montréal,0,Ottawa,0,TD Place,2025,regular_season
2025/04/26,TBD,New York,0,Minnesota,0,Xcel Energy Center,2025,regular_season
2025/04/28,TBD,Boston,0,Montréal,0,Place Bell,2025,regular_season
2025/04/29,7:00 pm EDT,New York,0,Toronto,0,Coca-Cola Coliseum,2025,regular_season
2025/04/30,TBD,Minnesota,0,Ottawa,0,TD Place,2025,regular_season
2025/05/02,TBD,Montréal,0,New York,0,Prudential Center,2025,regular_season
2025/05/03,TBD,Minnesota,0,Boston,0,Tsongas Center,2025,regular_season
2025/05/03,TBD,Ottawa,0,Toronto,0,Coca-Cola Coliseum,2025,regular_season
